Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
PENGARUH DOSIS PUPUK NPK TERHADAP PEMBUNGAAN DAN PEMBENTUKAN BUAH TANAMAN SAWO (Achras zapota L.),Penulis : Faiseh Turroh Maniyah,"Dosen Pembimbing I : Dr. Agr. Eko Setiawan, S. P., M. Si","Dosen Pembimbing II :Ir. Ami Zuchri, M.P.","ABSTRAK
Tanaman sawo (Achras zapota L.) merupakan salah satu buah daerah yang
merupakan keluarga dari sapotaceae. Sawo disukai karena rasanya yang manis dan lezat, sawo biasa dikonsumsi sebagai makanan pencuci mulut. Tujuan penelitian ini adalah untuk mengetahui pengaruh dosis pupuk NPK terhadap jumlah daun muda, saat muncul bunga, jumlah bunga dan jumlah buah terbentuk pada tanaman sawo (Achras zapota L.). Penelitian dilakukan pada bulan Desember 2017 sampai April 2018. Penelitian ini menggunakan Rancangan Acak Kelompok (RAK) non factorial. Dari hasil penelitian menunjukkan bahwa dosis pupuk NPK tidak memberi pengaruh nyata pada jumlah daun muda dan saat muncul bunga namun berpengaruh sangat nyata pada jumlah bunga dan jumlah buah terbentuk. Rata-rata hasil tertinggi pada dosis 1 kg/pohon.
Kata kunci : Tanaman sawo, NPK."
PENGARUH PERENDAMAN KONSENTRASI AUKSIN (NAA) TERHADAP PERTUMBUHAN BIBIT BUD CHIP DAN BUD SET TEBU (Saccharum officinarum L.),Penulis : ARUM SUGIHAN,"Dosen Pembimbing I : Drs. H. Kaswan Badami, M. Si.","Dosen Pembimbing II :Dr. Ir. H. Ahmad Arsyad Munir, M.S.","ABSTRAK
Tanaman tebu (Saccharum officinarum L.) merupakan tanaman yang tumbuh baik di daerah tropis, yang berperan sebagai penghasil gula. Permasalahan yang sering terjadi pada produksi gula dalam negeri adalah dari segi budidaya tebu, diantaranya penyiapan bibit dan kualitas bibit tebu. Tujuan penelitian ini adalah untuk mengetahui pengaruh auksin (NAA) terhadap pertumbuhan bibit tanaman tebu dengan menggunakan teknik bud chip dan bud set. Penelitian ini dilakukan di kebun percobaan Prodi Agroteknologi Fakultas Pertanian Universitas Trunojoyo Madura di Desa Telang Kecamatan Kamal Kabupaten Bangkalan. Penelitian ini dimulai pada bulan Maret 2018 – Juni 2018. Penelitian ini menggunakan Rancangan Acak Lengkap (RAL) faktorial dengan 2 faktor dan diulang sebanyak 3 kali. Faktor I adalah jenis bahan tanam, yaitu B1 (Bud Chip) dan B2 (Bud Set) dan faktor II adalah konsentrasi auksin (NAA) yang terdiri dari 5 taraf, yaitu K0 (kontrol), K1 (50 ppm), K2 (100 ppm), K3 (150 ppm), K4 (200 ppm). Hasil penelitian menunjukkan bahwa bahan tanam yang digunakan memberikan pengaruh yang nyata pada parameter pengamatan persentase munculnya tunas, tinggi tanaman, jumlah daun pada umur 2, 6, 7, 8, 9, 10 minggu setelah tanam, luas daun, volume akar, berat basah serta berat kering tanaman. Pemberian konsentrasi NAA (0, 50, 100, 150, 200 ppm) pada tanaman tebu tidak memberikan pengaruh nyata pada semua parameter.

Kata Kunci : Tanaman Tebu (Saccharum Officinarum L.), Auksin (NAA), Bud Chip, Bud Set
"
SAAT PEMANGKASAN DAUN DALAM PERTUMBUHAN DAN POTENSI HASIL PRODUKSI TANAMAN OKRA (Abelmoschus esculentus L),Penulis : Rizka Dwi Puspita,"Dosen Pembimbing I : Dr. Ir. RA Sidqi Zaed ZM, M.S","Dosen Pembimbing II :Dr. Ir. Gita Pawana, M.Si","Rizka Dwi Puspita 14.03.1.1.1.00.059. Saat Pemangkasan Daun Dalam Pertumbuhan Dan Potensi Hasil Produksi Tanaman Okra (Abelmoschus esculentus L.) dibawah Bimbingan Dr. Ir. Raden Achmad Sidqi Zaed ZM,M.S

ABSTRAK
      Pemangkasan daun (defoliasi) adalah suatu kegiatan pengurangan daun dengan tujuan memberikan efek stress pada tanaman sehingga diharapkan agar  pertumbuhan dan produksi tanaman dapat menjadi lebih baik. Tujuan dari penelitian ini adalah untuk mengetahui perlakuan yang paling efektif dalam peningkatan pertumbuhan dan potensi hasil tanaman Okra (Abelmoschus esculentus L.)  Perlakuan yang diberikan yaitu varietas dan waktu pemangkasan. Waktu pemangkasan dibedakan menjadi empat yaitu Tanpa Pemangkasan (A0), 5 Minggu Setelah Tanam (A1), 6 Minggu Setelah Tanam (A2), dan 7 Minggu Setelah Tanam (A3), sedangkan Varietas yang digunakan yaitu varietas Greennie (B1) dan Lucky Five (B2)  Penelitian ini dilaksanakan di lahan sawah Desa Pojok, Kecamatan Purwosari, Kabupaten Bojonegoro mulai bulan Januari 2018 - Maret 2018. Rancangan penelitian yang digunakan yaitu Rancangan Acak Kelompok Faktorial (RAKF). Hasil dari Uji ANOVA dari penelitian ini menunjukkan adanya interaksi perlakuan varietas dan pemangkasan terhadap beberapa parameter pertumbuhan dan potensi hasil tanaman Okra. Dan hasil Uji Beda Jarak Nyata Duncan (BJND) pada taraf 5 % menunjukkan bahwa kombinasi perlakuan terbaik untuk meningkatkan pertumbuhan yaitu A0B2, sedangkan untuk meningkatkan potensi hasil tanaman Okra kombinasi perlakuan terbaik yaitu A3B2. Namun dari penelitian ini disarankan melakukan pemangkasan pada 7 MST baik untuk varietas Greennie maupun varietas Lucky Five, karena pada waktu tersebut tanaman telah memasuki fase generatif sehingga fotosintat dalam kondisi maksimal dan produksi buah dapat lebih banyak.


Kata Kunci : Waktu Pemangkasan Daun, Okra, Pertumbuhan dan Potensi hasil
"
Pengaruh Cekaman Kekeringan Terhadap Pertumbuhan dan Produksi Tanaman Jagung (Zea mays L.) Lokal Madura. ,Penulis : Maslahah,"Dosen Pembimbing I : Dr. Achmad Amzeri, S.P., M.P","Dosen Pembimbing II :Dr. Ir. H. Ahmad Arsyad Mursyad Munir, M.S","ABSTRAK Kekeringan merupakan faktor utama lingkungan yang mampu membatasi pertumbuhan tanaman dan banyaknya produktivitas tanaman. Cekaman kekeringan merupakan salah satu kondisi yang berpengaruh hampir pada semua fungsi tanaman, mencakup pertumbuhan dan produksi tanaman. Dampak cekaman  terhadap aktivitas kehidupan tanaman, pada dasarnya mencakup aspek agronomis, fisiologis, dan kimia. Tujuan penelitian adalah untuk mengetahui pengaruh cekaman kekeringan terhadap pertumbuhan dan produksi jagung (Zea mays L.) lokal Madura. Penelitian ini dilakukan di rumah plastik kebun percobaan Agroteknologi Fakultas Pertanian Universitas Trunojoyo Madura. Genotip jagung yang digunakan dalam penelitian ini terdapat 5 genotip yang berasal dari Madura dan merupakan koleksi Universitas Trunojoyo Madura. Penelitian menggunakan rancangan acak lengkap (RAL) tersarang, yang terdiri dari 2 faktor dan 3 ulangan. Faktor pertama adalah cekaman kekeringan melalui pengaturan interval penyiraman, dan faktor kedua adalah genotip jagung. Variabel yang diamati yakni panjang tanaman, jumlah daun, persentase daun menggulung, umur muncul bunga, berat basah akar, berat kering akar, kadar air akar, berat basah total tanaman, berat kering total tanaman, kadar air tanaman, dan berat biji per tanaman. Data yang diperoleh dianalisis dengan analisis of varian (ANOVA) dan diuji lanjut dengan uji beda nyata jarak Duncan (BNJD) pada taraf ? 5%. Hasil penelitian menunjukkan bahwa cekaman kekeringan berpengaruh terhadap pertumbuhan dan hasil produksi tanaman jagung pada seluruh genotip, dengan hasil bahwa genotip 5 ( genotip LG) mampu bertahan dalam kondisi cekaman kekeringan yang cukup lama. 
 
Kata kunci: Cekaman kekeringan, genotip jagung, pertumbuhan, produksi. "
"PENGARUH DOSIS PUPUK N, P, DAN K TERHADAP PERTUMBUHAN DAN PRODUKSI DUA GENOTIP SELASIH UNGU (Ocimum basilicum L.)",Penulis : Ika Prihesti Ningrum,"Dosen Pembimbing I : Diana Nurus Sholehah, S.Farm. Apt., M.Si","Dosen Pembimbing II :Dr. Ir. H. Ahmad Arsyad Munir, M.S.","ABSTRAK

Selasih ungu (Ocimum basilicum L.) merupakan tanaman herba yang memiliki banyak manfaat terutama kandungan antosianin dari warna ungu daunnya. Penelitian ini bertujuan untuk mengetahui pengaruh pupuk N, P, dan K terhadap pertumbuhan dan produksi dua genotip selasih ungu. Penelitian dilaksanakan di Kebun Percobaan Program Studi Agroteknologi Fakultas Pertanian Universitas Trunojoyo Madura dengan ketinggian ± 5 m dpl. Penelitian dilaksanakan pada bulan Februari sampai Juni 2018. Rancangan yang digunakan adalah Rancangan Acak Lengkap (RAL) faktorial dengan 2 faktor yaitu, faktor pertama adalah penambahan pupuk N, P, dan K yang terdiri dari 5 taraf perlakuan P0 (0 kg/ha), P1 (N:P:K (150:60:40) kg/ha), P2 (N:P:K (195:95:72,5) kg/ha), P3 (N:P:K (240:130:115) kg/ha), dan P4 (N:P:K (285:165:147,5) kg/ha) dan faktor kedua adalah genotip terdiri dari 2 taraf perlakuan V1 (Genotip Purple Ruffles), dan V2 (Genotip Red Rubin). Hasil penelitian menunjukkan bahwa perlakuan P3 memberikan hasil yang terbaik terhadap variabel pengamatan tinggi tanaman, diameter batang, jumlah daun per tanaman, bobot basah, bobot kering, kandungan klorofil, dan kandungan antosianin tanaman selasih ungu. 

Kata kunci : Selasih ungu (Ocimum basilicum L.), pupuk N, P, dan K"
PENGARUH PENYIMPANAN DAN KEMASAN BENIH TERHADAP VIABILITAS BENIH KACANG HIJAU (Vigna radiata L.) VARIETAS VIMA 5,Penulis : Nurul Hidayatul Layli,"Dosen Pembimbing I : Ir. Amin Zuchri, M.P","Dosen Pembimbing II :Ir. Slamet Supriyadi, M.Si","Penelitian ini bertujuan untuk mengetahui pengaruh lama penyimpanan dan kemasan benih terhadap viabilitas benih kacang hijau. Penelitian dilakukan di Laboratorium Uji Mutu Benih, Balai Penelitian Aneka Kacang dan Umbi (BALITKABI) Malang. Penelitian dilaksanakan pada bulan Januari-Mei 2018. Rancangan yang digunakan dalam penelitian ini adalah Rancangan Acak Lengkap (RAL) faktorial dengan 4 ulangan dengan dua faktor yaitu penyimpanan dan kemasan dengan 8 perlakuan yang terdiri dari A1 (penyimpanan 1 bulan), A2 (penyimpanan 2 bulan), A3 (penyimpanan 3 bulan), dan B1 (kemasan plastik tipis), B2 (plastik tipis di masukkan dalam karung), B3 (plastik tebal), B4 (plastik tebal yang di masukkan dalam karung), B5 (karung). Data pengamatan di analisis dengan analisis sidik ragam (ansira), kemudian dilanjutkan dengan uji beda jarak nyata jujur (BNJ) taraf 5%. Hasil penelitian menunjukkan bahwa perlakuan dengan lama penyimpanan satu bulan memberikan pengaruh berbeda nyata terhadap variabel pengujian kadar air benih,daya berkecambah, kecepatan tumbuh, dan nilai terendah pada bobot 100 butir benih serta daya hantar listrik benih kacang hijau. Perlakuan kemasan benih menggunakan karung memberikan hasil terbaik pada pengujian kadar air benih dan daya hantar listrik dan kemasan benih menggunakan plastik tipis yang dimasukkan ke dalam karung memberikan hasil terbaik pada pengujian daya berkecambah, kecepatan tumbuh, bobot 100 butir benih kacang hijau.
Kata Kunci: Kacang hijau, penyimpanan, kemasan
"
NEMATODA ENTOMOPATOGEN (NEP) DI KEBUN KOPI DAN KAKAO WILAYAH JOMBANG,Penulis : Pramita Lailatul Anggraini,"Dosen Pembimbing I : Ir. Slamet Supriyadi, M.Si","Dosen Pembimbing II :Ir. Amin Zuchri, M.P","Nematoda entomopatogen (NEP) baikdari famili Steinernema maupun Heterorhabditis merupakan salah satu agen pengendali hayati hama dari ordo Lepidoptera, Coleoptera, Diptera, Siphoneptera dan Orthoptera. NEP bisa ditemukan pada semua jenis tanah dan populasinya dipengaruhi oleh kondisi lingkungan hidupnya. Penelitian ini adalah studi kasus di kebun kopi, dan kakao di Ngoro dan Wonosalam, dilakukan pada bulan November 2017-Januari 2018. Penelitianbertujuan untuk mengetahui populasi NEP di kebun kopi dan kakao, hubungan sifat tanah dengan populasi NEP, dan macam NEP yang ada di kebun kopi dan kakao. Sampel tanah diambil diempat lokasi dengan sembilan ulangan yang kemudian dikompositkan. Populasi NEP ditentukan dengan metode pengumpanan (baiting) menggunakan larva Tenebrio molitor yang diinkubasi pada tanah sebanyak 150 gram selama 3, 5 dan 7 hari. Pada setiap waktu inkubasi Larva yang mati dihitung untuk menentukan persentase mortalitas dan kemudian dibedah untuk menentukan populasi NEP. Populasi NEP tertinggi pada baiting 3, 5 dan 7 hari masing-masing sebesar 17, 138 dan 792 NEP/larva /150 gram tanah. Hasil uji korelasi menunjukkan adanya hubungan yang sangat kuat antara kandungan bahan organik tanah dengan populasi NEP pada baiting 3 hari , dan suhu tanah dan porositas tanah dengan populasi NEP Baiting 5. Hasil uji gejala kutikula menunjukkan NEP yang diperoleh kemungkinan adalah genus Steinernema.

Kata kunci :Nematoda Entomopatogen,kebun kopi, kebun kakao, Jombang
"
Pengaruh Kombinasi Arang Sekam dan Pupuk Kandang Ayam terhadap Pertumbuhan dan Hasil Tanaman Bawang Dayak (Eleutherine americana Merr.),Penulis : ABDUL FEBRI ANDA,"Dosen Pembimbing I : Ir. SINAR SURYAWATI, M.Si","Dosen Pembimbing II :Ir. AMIN ZUCHRI, MP","Potensi yang sangat tinggi terdapat pada tanaman bawang dayak (Eleuthrine americana Merr.) yang dimanfaatkan sebagai tanaman obat dalam skala industri. Tanah mediteran merah merupakan tanah yang termasuk dalam ordo vertisoKonservasi dapat dilakukan dengan memberi bahan organik pada media. Menambahkan abu sekam padi ataupun sekam padi ke dalam lahan memberikan pengaruh yang baik, terutama dalam penyerapan silika. Pemberian bahan organik seperti pupuk kandang ayam pada tanaman akan meningkatkan kandungan unsur hara esensial. Penelitian ini bertujuan untuk mengkaji pertumbuhan dan hasil bawang dayak (Eleutherine americana merr.) terhadap aplikasi arang sekam padi 20 ton/ha dan berbagai dosis pupuk kandang ayam. Penelitian ini akan dilaksanakan di Kebun Percobaan Fakultas Pertanian dari ketinggian ± 5 mdpl dan Laboratorium Terpadu Universitas Trunojoyo Madura. Penelitian ini berlangsung dari bulan Maret 2018 sampai Juni 2018. Penelitian ini dilaksanakan secara eksperimen dengan menggunakan Rancangan Acak Lengkap (RAL) non faktorial dengan faktor perlakuan arang sekam dan pupuk kandang ayam diulang sebanyak 5 kali. Faktor perlakuan: A0 = Tanah (kontrol), A1 = Tanah dan Arang sekam 60 gram/pot (20 ton/Ha), A2 = Tanah, Arang sekam 60 gram/pot (20 ton/Ha) dan pupuk kandang ayam 30 gram/pot (10 ton/Ha), A3 = Tanah, Arang sekam 60 gram/pot (20 ton/Ha) dan pupuk kandang ayam 45 gram/pot (15 ton/Ha), A4 = Taanah, Arang sekam 60 gram/pot (20 ton/Ha) dan pupuk kandang ayam 60 gram/pot (20 ton/Ha), A5 = Tanah, Arang sekam 60 gram/pot (20 ton/Ha) dan pupuk kandang ayam 75 gram/pot (25 ton/Ha). Perlakuan kombinasi arang sekam 60 g dengan berbagai dosis pupuk kandang ayam sampai 25 ton/ha (75 g/pot) tidak memberikan respon yang berbeda nyata terhadap semua parameter yang diamati."
"PERTUMBUHAN DAN PRODUKTIVITAS KACANG BAMBARA (Vigna subterranea) LOKAL MADURA PADA TUMPANGSARI 
JAGUNG (Zea mays L) 
",Penulis : RUSMIATI,"Dosen Pembimbing I : Dr. Agr. Eko Setiawan, S.P., M.Si","Dosen Pembimbing II :Dr. Ir. H. Ahmad Arsyad Munir, M.S.","Penelitian bertujuan untuk mengetahui potensi produksi 2 galur kacang bambara lokal Madura dan model tanam tumpangsari serta interaksinya terhadap pertumbuhan dan produktivitas kacang bambara. Penelitian dilaksanakan di lahan pertanian Desa Telang Candi Kecamatan Kamal Kabupaten Bangkalan pada bulan Desember 2017 hingga Mei 2018. Rancangan Lingkungan yang digunakan adalah  rancangan acak kelompok (RAK) faktorial, faktor pertama adalah model tanam yang terdiri dari 3 perlakuan dan faktor kedua adalah galur kacang bambara yang terdiri 2 perlakuan, sehingga terdapat 6 kombinasi perlakuan dan diulang sebanyak 3 kali ulangan. Hasil penelitian menunjukkan bahwa tidak terjadi interaksi antar perlakuan terhadap seluruh percobaan. Perlakuan model tanam berpengaruh terhadap tinggi tanaman kacang bambara dan jumlah ruas per cabang kacang bambara. Perlakuan galur kacang bambara berpengaruh terhadap tinggi tanaman kacang bambara, jumlah daun kacang bambara, berat basah dan kering brangkasan serta indeks luas daun. Kacang bambara galur 2 berpotensi baik jika dikembangkan di Madura. Selain itu, sistem penanaman tumpangsari tidak memberikan  produktivitas kacang bambara tertinggi. "
"Karakterisasi Morfologi 6 Genotip Bawang Merah
(Allium cepa L.) di Desa Telang Kecamatan
Kamal Kabupaten Bangkalan",Penulis : LENI SULAGINANTI,"Dosen Pembimbing I : Dr. Achmad Amzeri, S.P.,M.P.",Dosen Pembimbing II :,"ABSTRAK
Tanaman bawang merah (Allium cepa L.) merupakan komoditi hortikultura yang tergolong sayuran rempah. Karakterisasi merupakan kegiatan penting dalam pengelolaan plasma nutfah yang digunakan untuk menyusun deskripsi varietas dalam rangka seleksi tetua untuk mengidentifikasi jenis atau varietas bawang. Penelitian ini bertujuan untuk mengetahui karakter morfologi, nilai heritabilitas, dan hubungan kekerabatan dari 6 genotip bawang merah serta untuk mengetahui
2
bawang merah yang bagus untuk di budidayakan di Madura dan untuk pemuliaan. Penelitian ini dilakukan pada bulan Desember 2017 sampai Febuari 2018 mtode RAK dengan analisis data menggunakan Uji-F (Fisher-Test) ,jika perlakuan menunjukkan pengaruh maka dilanjutkan dengan Uji BNJ pada taraf 5%. Untuk menentukan nilai heritabilitas digunakakn rumus heritabilitas serta untuk menentukan hubungan kekerabatan digunakan metode numerik menggunakan program NTSYS versi 2.1. Hasil penelitian menunjukkan adanya keragaman dari 6 genotip bawang merah diantaranya tinggi tanaman, jumlah umbi, bobot basah umbi dan bobot kering umbi.. Nilai heritabilitas dari 6 genotip bawang merah terhadap parameter yang diamati kisara 52% - 86% dan rata – rata keseluruhan parameter 76%. Hubungan kekerabatan 6 genotip bawang merah membentuk dua kelompok utama pada koefisien kemiripan 0,83 – 1,00. Kelompok pertama terbagi menjadi dua sub kelompok yaitu sub kelompok 1 terdiri dari genotip bauji, genotip thailan, genotip philip dan sub kelompok 2 terdiri genotip super philip. Kelompok kedua hanya terdiri genotip rubaru dan genotip manjhung. Genotip bawang merah yang dapat dikembangkan untuk program budidaya di Madura adalah genotip bauji yang memiliki bobot umbi rata-rata 65,26g/trumpun, sedangkan yang dapat dikembangkan untuk progrm pemuliaan yaitu genotip bauji dengan genotip manjhung.
Kata Kunci: bawang Merah, Karakter Morfologi, Heritabilitas, Hubungan Kekerabatan"
"PENGARUH MEDIA BIAKAN TERHADAP PATOGENITAS
CENDAWAN ENTOMOPATOGEN Metarhizium anisopliae
PADA ULAT Plutella xylostella
INSTAR III",Penulis : GALIH SATRIO UTOMO,"Dosen Pembimbing I : Dr. Ir. GITA PAWANA, M.Si","Dosen Pembimbing II :Ir. SUHARTONO, M.P.","Pengendalian hama menggunakan bahan kimiawi telah menimbulkan
banyak permasalahan lingkungan. Salah satu alternatif untuk meminimalisir
penggunaan pestisida yaitu dengan memanfaatkan agen hayati. Agen hayati yang
sudah diketauhi potensinya adalah cendawan entomopatogen Metarhizium
anisopliae. Salah satu penyebab tidak efektifnya cendawan entomopatogen
dilapangan adalah medium perbanyakan yang digunakan. Penelitian ini bertujuan
untuk mengetahui pengaruh media biakan terhadap patogenitas cendawan
entomopatogenMetarhizium anisopliae pada hama uji ulat Plutella xylostella instar
III. Penelitian ini menggunakan Rancangan Acak Lengkap (RAL) non faktorial
dengan 6 perlakuan yaitu, P1 (Beras), P2 (Jagung), P3 (Kacang merah), P4 (Beras
+ Jagung), P5 (Beras + Kacang merah), P6 (Jagung + Kacang merah). Cendawan
Metarhizium anisopliae yang ditumbuhkan pada media biakan kacang merah (P3)
menunjukkan pengaruh yang signifikan terhadap pertumbuhan spora, viabilitas
spora dan menghasilkan produksi spora tertinggi yaitu 3,7 x 108 spora/g dengan
persentase viabilitas spora 85,5 %, dan menyebabkan laju kematian pada ulat
plutella xylostella sebesar 2 ekor per hari dibandingkan dengan perlakuan jenis
media biakan yang lain. Nilai tertinggi pada mortalitas terdapat pada perlakuan
(P3) Kacang Merah yaitu 57,5 %."
Uji Efektivitas Ekstrak Daun Annona muricata L. dan Annona squamosa L. Terhadap Mortalitas Larva Daun Kubis (Plutella xylostella L.),Penulis : Hidro Bayu Prilawan,"Dosen Pembimbing I : Ir. Achmad Djunaedy, M.P.","Dosen Pembimbing II :Ir. H. Suhartono, M.P.","Kendala budidaya tanaman keluarga Brassicaceae adalah hama larva daun kubis atau Plutella xylostella L., meski ukuran larva yang kecil namun jika dalam jumlah banyak maka bisa menghabiskan seluruh bagian daun dan menyebabkan kerugian panen. Penggunaan pestisida piretroid dinilai gagal maka salah satu cara memberantas hama ini menggunakan pestisida nabati, dari tanaman Annona muricata L. (Sirsak) dan Annona squamosa L. (Srikaya). Keluarga Annonaceae tersebut mengandung senyawa metabolit sekunder yang khas dan beracun bagi hama yaitu Annonain. Penelitian ini bertujuan untuk mengetahui sifat toksisitas, pengaruh konsentrasi, LC50,90 dan LT50,90.dari ekstrak tersebut dengan pelarut etil asetat. Konsentrasi yang digunakan penelitian ini 0%; 2,5%; 5,0%; 7,5%; dan 10% dengan 40 larva instar 3 tiap konsentrasi. Analisis data diolah menggunakan analisis probit pada SPSS. Mortalitas oleh ekstrak daun A. muricata L. tertinggi konsentrasi 10% (52,5%) dan terendah konsentrasi 2,5% (17,5%), sedangkan ekstrak A. squamosa L. tertinggi konsentrasi 10% (57,5%) dan terendah konsentrasi 2,5% (20,0%). Dugaan konsentrasi yang dibutuhkan untuk menyebabkan mortalitas larva 50% dan 90% (LC50,90) adalah 9,04% dan 15,95% (A. muricata L.); 8,35% dan 15,18% (A. squamosa L.). Lama waktu yang dibutukan ekstrak menyebabkan mortalitas larva 50% dan 90% (LT50,90) adalah 3,0 hari dan 5,3 hari (A. muricata L.); 2,5 hari dan 4,4 hari (A. squamosa L.)."
"PENGARUH METODE PEMBIBITAN DAN ASAL BIBIT  TERHADAP PERTUMBUHAN TANAMAN TEBU
 (Saccharum officinarum L.)
",Penulis : Lurico Umar Raffsanjani,"Dosen Pembimbing I : Dr.Ir.  R.A Sidqi Zaed ZM, MS. ","Dosen Pembimbing II :Dr. Achmad Amzeri, S.P., M.P","Tanaman Tebu (Saccharum officinarum L.) adalah salah satu tanaman bahan baku gula. Sebagai bahan baku utama, tanaman tebu mempunyai peranan penting terhadap kelangsungan industri pergulaan indonesia. Namun dari tahun ke tahun produksi tanaman tebu produksi tanaman tebu cenderung mengalami penurunan. Penyebab rendahnya produksi gula dalam negeri salah satunya dapat dilihat dari sisi budidaya tebu, diantaranya penyiapan bibit dan kualitas bibit tebu. Penyiapan bibit yang dilakukan dengan metode konvensional (bagal) sangat berpengaruh terhadap waktu pembibitan karena membutuhkan waktu 6 bulan untuk satu kali periode tanam. Oleh karena itu diperlukan teknologi penyiapan bibit yang singkat, tidak memakan tempat dan berkualitas. Pemakaian satu mata tunas tanaman tebu dapat meningkatkan produktivitas tebu dapat menghasilkan jumlah anakan pertanaman yang lebih banyak dibandingkan bibit bagal. Metode pembibitan tebu bud chips dan bud set dapat mendukung produktivitas tebu yang tinggi, dimana bud chips dan bud set mempunyai keungulan penurunan laju kematian tanaman yag relatif lebih sedikit jika dibandingkan bagal, serta kesulitan areal pembibitan dapat teratasi. Penelitian ini Penelitian ini dilaksanakan pada bulan Desember 2017 sampai Maret 2018 di rumah plastik Kebun Percobaan Prodi Agroteknologi, Universitas Trunojoyo Madura. Rancangan penelitian menggunakan RAL 2 faktorial dengan 6 perlakuan, Faktor 1 metode yang digunakan, BC (Bud Chips) dan BS (Bud Set) Faktor 2 bagian batang A (atas), T (Tengah), B (Bawah). Data hasil pengamatan dianalisis menggunakan ANOVA (Analisys Of Varians) dan dilanjutkan dengan BJND taraf 5%. Hasil penelitian menunjukkan bahwa terjadi interaksi yang nyata antara perlakuan metode pembibitan dengan bagian batang pada parameter munculnya tunas, munculnya akar dan tinggi tanaman. Sedangkan pada parameter luas daun, jumlah daun, berat basah, dan berat kering tidak terjadi interaksi akan tetapi, bud set berbeda nyata dibandingkan dengan bud chip sedangkan untuk perlakuan bagian batang tidak berbeda nyata namun nilai tertinggi di tunjukan pada bagian batang bawah.
Kata kunci : tanaman tebu (Saccharum officinarum L), bud chip, bud set, bagian batang tanaman tebu. 

"
Uji Ketahanan Tanaman Jagung (Zea mays L. ) Introduksi Terhadap Penyakit Bulai (Peronosclerospora maydis),Penulis : RP. RACHMAD SHOLEH,"Dosen Pembimbing I : Dr. Achmad Amzeri, SP. MP.","Dosen Pembimbing II :Dr. Ir. H. Ahmad Arsyadmunir, MS.","Penyakit bulai adalah penyakit utama pada tanaman jagung yang menyebabkan kehilangan hasil sampai 100 %.  Penelitian ini bertujuan untuk mengetahui ketahanan genotip jagung introduksi tahan terhadap penyakit bulai, mengetahui intensitas serangan, dan laju serangan penyakit bulai (Peronosclerospora maydis) pada tanaman jagung introduksi. Penelitian ini dilaksanakan pada bulan Februari sampai Mei 2018 di lahan percobaan Fakultas Pertanian Universitas Trunojoyo Madura. Penelitian ini disusun menggunakan Rancangan Acak Kelompok RAK non faktorial dengan 3 ulangan.  Penelitian ini terdiri dari 7 perlu perlakuan genotip, yaitu G1=CML161, G2= Laga Ligo, G3= Galur 08, G4= Srikandi kuning, G5= Lamuru, G6= Sukmaraga, G7= Pulut. Hasil penelitian menunjukkan bahwa ketahanan tanaman jagung introduksi terhadap penyakit bulai dapat dikategorikan pada umur pengamatan 28 HST. Kategori resisten yaitu G1, kategori agak resisten yaitu G2, G3, G4, G5. Keterjadian penyakit disebabkan oleh faktor lingkungan.
Kata Kunci: Jagung introduksi, Penyakit Bulai, Ketahanan tanaman.
"
PENGARUH KONSENTRASI INDOLE ACETIC ACID (IAA) TERHADAP PERTUMBUHAN VEGETATIF MATA TUNAS TUNGGAL TEBU (Saccharum officinarum L.) ,Penulis : MAIDATUL FITRIYAH,"Dosen Pembimbing I : Ir. Amin Zuchri, MP.","Dosen Pembimbing II :Ir. Achmad Djunaedy, MP.","MAIDATUL FITRIYAH NIM. 14.03.1.1.1.00080 Pengaruh Konsentrasi Indole Acetic Acid (IAA) Terhadap Pertumbuhan Vegetatif Mata Tunas Tunggal Tebu (Saccharum officinarum L.). Dibimbing oleh Ir. Amin Zuchri, MP.
 

ABSTRAK

Pembentukan akar yang agak lambat dan pertumbuhan anakan yang masih sedikit menjadi  salah satu masalah yang dihadapi dari pembibitan mata tunas tunggal tebu. Penyediaan air yang cukup merupakan faktor yang penting dalam pembentukan perakaran. Selain itu pemberian zat pengatur tumbuh merupakan usaha yang dapat dilakukan untuk meningkatkan pembentukan akar. Zat pengatur tumbuh yang dapat digunakan yaitu Indole Acetic Acid (IAA). Penelitian ini bertujuan untuk mengetahui pengaruh konsentrasi IAA terhadap pertumbuhan vegetatif mata tunas tunggal tebu (Saccharum officinarum L.). Penelitian ini dilaksanakan selama 2 bulan dari 2 Februari  sampai 3 April 2018 di Kebun Percobaan dan Laboratorium Agroteknologi, Fakultas Pertanian, Universitas Trunojoyo Madura. Penelitian ini menggunakan Rancangan Acak Lengkap (RAL) nonfaktorial dengan 4 perlakuan konsentrasi IAA (0 ppm, 100 ppm, 200 ppm dan 300 ppm) dan 3 kali ulangan. Data yang diperoleh dianalisis sidik ragam (ANSIRA), dan dilanjutkan dengan uji beda nyata terkecil (BNT).Hasil penelitian menunjukkan bahwa konsentrasi IAA (Indole Acetic Acid) berpengaruh nyata terhadap pertubuhan vegetatif bibit mata tunas tunggal tebu pada parameter pengamatan jumlah akar utama, panjang akar, jumlah daun dan berat basah akar. 

Kata kunci: Mata tunas tunggal tebu, konsentrasi IAA.
"
